NtOpenSection,RegOpenKeyExW,SetErrorMode,RegOpenKeyExA,GetCursorPos,NtCreateFile,GetSystemTimeAsFileTime,RegCreateKeyExW,DeviceIoControl,NtQueryKey,OpenServiceW,LookupPrivilegeValueW,NtQueryValueKey,RegQueryValueExW,NtReadFile,LdrGetDllHandle,NtQuerySystemInformation,NtEnumerateValueKey,CreateThread,NtProtectVirtualMemory,LdrGetProcedureAddress,LdrLoadDll,RegCloseKey,GetSystemMetrics,NtAllocateVirtualMemory,NtResumeThread,RegEnumKeyExW,RegEnumValueW,NtCreateSection,SetWindowsHookExA,NtDuplicateObject,OpenSCManagerW,GetSystemInfo,NtClose,NtFreeVirtualMemory,NtMapViewOfSection,NtOpenFile,RegQueryInfoKeyW,NtUnmapViewOfSection,NtQueryAttributesFile,NtCreateMutant,NtOpenKey,regkey_opened,regkey_read,file_opened,file_exists,file_read,file_failed,mutex,processes,processtree,NtDelayExecution,recvfrom,sendto,WriteProcessMemory,RegQueryValueExA,RemoveDirectoryW,RegCreateKeyExA,SetUnhandledExceptionFilter,socket,CopyFileA,RegSetValueExA,NtSetInformationFile,ioctlsocket,WSAStartup,NtTerminateProcess,CreateRemoteThread,NtQueueApcThread,DeleteFileW,DnsQuery_W,closesocket,IsDebuggerPresent,CreateProcessInternalW,gethostbyname,regkey_written,file_deleted,file_copied,directory_removed,antisandbox_sleep,injection_runpe,CopyFileW,MoveFileWithProgressW,file_moved,packer_entropy,getaddrinfo,FindFirstFileExW,NtQueryInformationFile,EnumWindows,NtDeviceIoControlFile,NtWriteFile,WriteConsoleA,NtEnumerateKey,NtOpenDirectoryObject,WriteConsoleW,CreateToolhelp32Snapshot,NtOpenProcess,FindWindowA,Process32NextW,CopyFileExW,Process32FirstW,NtQueryDirectoryFile,file_written,directory_enumerated,packer_upx,process_interest,deletes_self,persistence_autorun,GetComputerNameW,GetAsyncKeyState,HttpSendRequestA,InternetCrackUrlA,ShellExecuteExW,GetUserNameW,GetUserNameA,InternetSetOptionA,SetWindowsHookExW,SHGetFolderPathW,RegSetValueExW,select,InternetCloseHandle,ReadProcessMemory,CoCreateInstance,RegEnumKeyExA,NtOpenMutant,InternetOpenA,RegEnumValueA,connect,HttpOpenRequestA,FindWindowW,RegEnumKeyW,InternetConnectA,RegDeleteValueA,RegQueryInfoKeyA,bind,InternetCrackUrlW,OpenSCManagerA,regkey_deleted,packer_vmprotect,browser_startpage,antivm_generic_services,GetFileVersionInfoSizeW,GetVolumeNameForVolumeMountPointW,SendNotifyMessageW,CreateDirectoryW,GetFileVersionInfoW,directory_created,NtSetContextThread,NtWriteVirtualMemory,NtGetContextThread,UnhookWindowsHookEx,GetDiskFreeSpaceExW,GetComputerNameA,bypass_firewall,GetDiskFreeSpaceW,recon_programs,OpenServiceA,StartServiceA,CreateServiceA,dropper,process_needed,infostealer_ftp,shutdown,setsockopt,GetAddrInfoW,antidbg_windows,NtCreateKey,NetGetJoinInformation,InternetGetConnectedState,WSASocketA,disables_windowsupdate,send,NtOpenThread,RegDeleteKeyA,HttpSendRequestW,InternetOpenW,HttpOpenRequestW,InternetConnectW,RegDeleteValueW,RegDeleteKeyW,URLDownloadToFileW,antisandbox_unhook,ControlService,disables_browser_warn,FindFirstFileExA,NtCreateThread,antidbg_devices,recon_fingerprint,persistence_ads,WSARecv,CryptCreateHash,CryptAcquireContextW,NtCreateProcessEx,CryptHashData,DnsQuery_A,NtLoadDriver,antivm_generic_disk,antisandbox_mouse_hook,DeleteService,listen,RemoveDirectoryA,antivm_generic_scsi,CryptAcquireContextA,spreading_autoruninf,InternetOpenUrlA,antiav_detectfile,NtSuspendThread,recv,accept,network_bind,CreateServiceW,StartServiceW,NetUserGetInfo,FindWindowExW,infostealer_browser,infostealer_mail,infostealer_im,GetAdaptersAddresses,disables_system_restore,NtTerminateThread,antivm_generic_cpu,InternetOpenUrlW,sniffer_winpcap,FindWindowExA,InternetReadFile,NetUserGetLocalGroups,NtSaveKey,CryptDecodeObjectEx,antiav_detectreg,browser_security,rat_pcclient,NtDeleteValueKey,WSASendTo,WSARecvFrom,NtSetValueKey,WSASocketW,RtlCreateUserThread,CryptGenKey,CryptExportKey,exec_crash,antivm_generic_bios,CryptDecrypt,NtDeleteFile,CreateDirectoryExW,NtReadVirtualMemory,ObtainUserAgentString,RtlDecompressBuffer,NtQueryFullAttributesFile,SendNotifyMessageA,rat_spynet,banker_zeus_mutex,WSASend,banker_zeus_p2p,modify_uac_prompt,infostealer_bitcoin,NtLoadKey,ExitWindowsEx,banker_spyeye_mutexes,antivm_vmware_files,antiav_avast_libs,bitcoin_opencl,InternetWriteFile,NtDeleteKey,NtSaveKeyEx,NtRenameKey,WSAAccept
0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,17.0,1.0,0.0,0.0,1.0,54.0,12.0,7.0,7.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,41.0,6.0,4.0,6.0,0.0,9.0,0.0,0.0,13.0,6.0,12.0,5.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,19665.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,411.0,123.0,213.0,11.0,102.0,23.0,47.0,0.0,3.0,4.0,3.0,76.0,314.0,218.0,121.0,9.0,1.0,6.0,23.0,609.0,278.0,409.0,68.0,723.0,2.0,44.0,25.0,95.0,0.0,15.0,4.0,7.0,404.0,132.0,102.0,56.0,1.0,98.0,0.0,10.0,27.0,350.0,353.0,75.0,36.0,14.0,1.0,4.0,3.0,1.0,243.0,0.0,0.0,0.0,73.0,0.0,15.0,1.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,67.0,54.0,8.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,16.0,2.0,16.0,34.0,4.0,6.0,1428.0,9.0,5.0,2.0,0.0,78.0,1.0,0.0,4.0,6.0,0.0,3.0,12.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,1.0,6.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,29.0,3.0,8.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26740.0,25.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,9.0,9.0,16.0,5.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,4.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,9.0,2.0,0.0,1.0,0.0,45.0,7.0,26.0,53.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,66.0,11.0,3.0,4.0,0.0,8.0,2.0,0.0,6.0,11.0,17.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,2.0,39.0,0.0,39.0,4.0,1.0,2.0,0.0,0.0,0.0,9.0,5.0,2.0,25.0,3.0,1.0,4.0,0.0,40.0,13.0,46.0,5.0,39.0,1.0,0.0,40.0,5.0,0.0,2.0,0.0,1.0,63.0,11.0,5.0,48.0,20.0,7.0,0.0,2.0,12.0,43.0,14.0,8.0,1.0,1.0,53.0,0.0,2.0,1.0,57.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,261.0,96.0,348.0,36.0,29.0,26.0,8.0,0.0,3.0,3.0,0.0,53.0,249.0,106.0,1.0,6.0,0.0,4.0,2.0,362.0,1.0,374.0,68.0,1.0,1.0,17.0,3.0,10.0,2.0,11.0,3.0,2.0,319.0,143.0,18.0,42.0,1.0,7.0,8.0,1.0,15.0,254.0,268.0,16.0,8.0,11.0,2.0,6.0,3.0,1.0,21.0,0.0,0.0,0.0,91.0,0.0,38.0,1.0,1.0,1.0,13.0,2.0,0.0,1.0,0.0,1.0,54.0,1.0,0.0,0.0,0.0,0.0,3.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,49.0,38.0,2.0,0.0,87.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,22.0,0.0,1.0,2.0,89.0,2.0,8.0,6.0,8.0,44.0,5.0,6.0,5.0,3.0,1.0,11.0,1.0,22.0,4.0,8.0,22.0,3.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,251.0,46.0,219.0,197.0,3.0,5.0,8.0,0.0,3.0,3.0,2.0,15.0,207.0,30.0,119.0,7.0,0.0,6.0,1.0,382.0,66.0,298.0,97.0,41.0,3.0,17.0,3.0,2.0,0.0,6.0,3.0,80.0,162.0,21.0,6.0,3.0,1.0,11.0,0.0,9.0,14.0,236.0,237.0,3.0,6.0,3.0,0.0,4.0,2.0,1.0,174.0,0.0,0.0,0.0,78.0,0.0,14.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,31.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,2.0,6.0,8.0,3.0,3.0,5.0,4.0,5.0,2.0,1.0,18.0,1.0,1.0,6.0,2.0,1.0,3.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
